code,name,spec,unit,category,kcs_ref,note
CON-18,레디믹스트 콘크리트,25-18-150,m3,콘크리트,KCS 14 20 10,단가는 prices 테이블에 출처와 함께 입력
CON-21,레디믹스트 콘크리트,25-21-150,m3,콘크리트,KCS 14 20 10,
CON-24,레디믹스트 콘크리트,25-24-150,m3,콘크리트,KCS 14 20 10,
CON-27,레디믹스트 콘크리트,25-27-150,m3,콘크리트,KCS 14 20 10,
CON-30,레디믹스트 콘크리트,25-30-150,m3,콘크리트,KCS 14 20 10,
CON-LEAN,버림 콘크리트,25-18-80,m3,콘크리트,KCS 14 20 10,
REB-D10,이형철근,SD400 D10,ton,철근,KCS 14 20 11,
REB-D13,이형철근,SD400 D13,ton,철근,KCS 14 20 11,
REB-D16,이형철근,SD400 D16,ton,철근,KCS 14 20 11,
REB-D19,이형철근,SD400 D19,ton,철근,KCS 14 20 11,
REB-D22,이형철근,SD500 D22,ton,철근,KCS 14 20 11,
REB-D25,이형철근,SD500 D25,ton,철근,KCS 14 20 11,
FRM-EURO,거푸집,유로폼,m2,거푸집,KCS 14 20 12,
FRM-PLY,거푸집,합판거푸집,m2,거푸집,KCS 14 20 12,
STL-H,H형강,SS275,ton,강재,KCS 14 31 00,
STL-DECK,데크플레이트,일체형,m2,강재,KCS 14 31 00,
BLK-CON,콘크리트 블록,190x190x390,매,조적,KCS 41 34 00,
BRK-CEM,시멘트 벽돌,190x90x57,매,조적,KCS 41 34 00,
MOR-1:3,시멘트 모르타르,1:3,m3,미장,KCS 41 46 00,
INS-XPS,압출법 보온판,특호 100T,m2,단열,KCS 41 42 00,
INS-EPS,비드법 보온판,2종1호 100T,m2,단열,KCS 41 42 00,
INS-GW,그라스울,24K 100T,m2,단열,KCS 41 42 00,
WPF-UR,우레탄 도막방수,3mm,m2,방수,KCS 41 40 06,
WPF-SHEET,개량아스팔트 시트방수,4mm,m2,방수,KCS 41 40 00,
GYP-STD,석고보드,일반 9.5T,m2,수장,KCS 41 51 00,
GYP-FR,석고보드,방화 12.5T,m2,수장,KCS 41 51 00,
STD-LGS,경량철골 천장틀,M-BAR,m2,수장,KCS 41 51 00,
TIL-POR,포세린 타일,600x600,m2,타일,KCS 41 48 00,
PNT-WB,수성페인트,내부용,m2,도장,KCS 41 47 00,
WIN-AL,알루미늄 창호,이중창 복층유리,m2,창호,KCS 41 55 00,
GLS-LOWE,로이 복층유리,24mm,m2,유리,KCS 41 55 00,
DOR-STL,강재 방화문,60분+ 방화문,EA,창호,KCS 41 55 00,
